策略大类,策略细分,基金代码,产品名称,基金公司,上市交易所,跟踪指数,指数公司,纳入级别,是否主线,是否补充观察,是否待校验,待校验事项,是否代表产品初筛,代表产品初筛理由,信息来源备注,清洗备注,原策略大类,原策略细分,原纳入级别,原指数公司,建议策略大类,建议策略细分,建议纳入级别,建议指数公司,是否需要修改,修改类型,修改原因,后续是否需要查指数规则,分类修正备注,是否Step7代表产品,Step7代表产品级别,Step7选择理由,Step7后续需重点看的指数规则,Step7备注
红利,上证红利,510880,华泰柏瑞上证红利ETF,华泰柏瑞,上交所,上证红利指数,上证,主线,是,否,否,,是,产品名称属于典型策略方向,天天基金/基金F10：显示其采用完全复制策略跟踪上证红利指数,指数公司由指数名称初步推断,红利,上证红利,主线,上证,红利,上证红利,主线,上证,否,,,否,,是,核心代表,境内传统红利ETF的经典代表，成立早、规模较大，适合作为上证红利策略样本,样本空间、股息率筛选、成分数量、加权方式、调样频率,作为红利类第一优先级代表
红利,中证红利,515080,招商中证红利ETF,招商基金,上交所,中证红利指数,中证,主线,是,否,否,,否,,天天基金/基金F10：显示其为被动式指数基金，跟踪中证红利指数,指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,否,,是,核心代表,代表中证红利指数体系，适合与上证红利、深证红利进行横向对比,中证红利指数选样标准、股息率排序、权重限制,后续需补规模和成交额
红利,中证红利,515180,易方达中证红利ETF,易方达,上交所,中证红利指数,中证,主线,是,否,否,,否,,易方达基金官网：显示代码515180、上交所上市、标的指数为中证红利指数,指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,否,,否,,,,
红利,中证红利,515890,博时中证红利ETF,博时基金,上交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,,否,,,,
红利,中证红利,560020,汇添富中证红利ETF,汇添富,上交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,,否,,,,
红利,中证红利,159589,广发中证红利ETF,广发基金,深交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,,否,,,,
红利,中证红利,159581,万家中证红利ETF,万家基金,深交所,中证红利指数,中证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开ETF列表/基金销售平台：显示其跟踪中证红利指数,标记为待校验；指数公司由指数名称初步推断,红利,中证红利,主线,中证,红利,中证红利,主线,中证,否,,,是,,否,,,,
红利,深证红利,159905,工银深证红利ETF,工银瑞信,深交所,深证红利股票指数,深证,主线,是,否,否,,否,,天天基金/基金F10：显示其跟踪深证红利股票指数,指数公司由指数名称初步推断,红利,深证红利,主线,深证,红利,深证红利,主线,深证,否,,,否,,是,核心代表,代表深证红利风格，可与上证红利和中证红利形成交易所与市场板块对比,深证红利指数样本空间、成长属性、行业分布,适合作为深市红利代表
红利,深证红利,159708,西部利得深证红利ETF,西部利得,深交所,深证红利指数,深证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,西部利得基金官网：显示业绩基准为深证红利指数收益率,标记为待校验；指数公司由指数名称初步推断,红利,深证红利,主线,深证,红利,深证红利,主线,深证,否,,,是,,否,,,,
红利,智选高股息,159207,广发中证智选高股息策略ETF,广发基金,深交所,中证智选高股息策略指数,中证,主线,是,否,是,新产品需校验规模与上市日期,否,,广发基金官网：显示代码159207，业绩基准为中证智选高股息策略指数,策略大类由高股息标准化为红利；标记为待校验；指数公司由指数名称初步推断,红利,智选高股息,主线,中证,红利,智选高股息,主线,中证,否,,,是,,否,,,,
红利低波,中证红利低波动,512890,华泰柏瑞中证红利低波动ETF,华泰柏瑞,上交所,中证红利低波动指数,中证,主线,是,否,否,,是,原始标记为主线重点；产品名称属于典型策略方向,天天基金/基金F10：显示其跟踪中证红利低波动指数,纳入级别由主线重点标准化为主线；指数公司由指数名称初步推断,红利低波,中证红利低波动,主线,中证,红利低波,中证红利低波动,主线,中证,否,,,否,,是,核心代表,红利低波方向最重要的代表产品之一，规模和市场认知度较高,红利与低波筛选顺序、波动率计算方式、加权方式、权重限制,作为红利低波第一优先级代表
红利低波,中证红利低波动100,515100,景顺长城中证红利低波动100ETF,景顺长城,上交所,中证红利低波动100指数,中证,主线,是,否,否,,是,原始标记为主线重点,景顺长城基金官网：显示代码515100，业绩基准为中证红利低波动100指数收益率,纳入级别由主线重点标准化为主线；指数公司由指数名称初步推断,红利低波,中证红利低波动100,主线,中证,红利低波,中证红利低波动100,主线,中证,否,,,否,,是,核心代表,与512890同属红利低波，但成分数量和指数规则可能不同，适合对比,成分数量、红利与低波筛选顺序、行业限制,用于比较红利低波50/100口径差异
红利低波,沪深300红利低波,515300,嘉实沪深300红利低波动ETF,嘉实基金,上交所,沪深300红利低波动指数,待补充,主线,是,否,是,规模/上市日期后续用Wind校验,否,,公开基金资料：显示该产品跟踪300红利低波指数,标记为待校验；指数公司待补充,红利低波,沪深300红利低波,主线,待补充,红利低波,沪深300红利低波,主线,中证,是,指数公司补充,分类本身合理，但指数公司字段可先按沪深300指数体系初步补为中证，后续仍需终端校验,是,只修正建议指数公司，策略分类不变,否,,,,
红利低波,标普A股红利低波,515450,南方标普中国A股大盘红利低波50ETF,南方基金,上交所,标普中国A股大盘红利低波50指数,标普,主线,是,否,否,,是,原始标记为主线重点,天天基金/标普官网：显示其跟踪标普中国A股大盘红利低波50指数,纳入级别由主线重点标准化为主线；指数公司由指数名称初步推断,红利低波,标普A股红利低波,主线,标普,红利低波,标普A股红利低波,主线,标普,否,,,否,,否,,,,
红利低波,A500红利低波,561680,平安中证A500红利低波动ETF,平安基金,上交所,中证A500红利低波动指数,中证,主线,是,否,是,新产品需校验规模/上市日期,否,,平安基金资料：显示标的指数为中证A500红利低波动指数,标记为待校验；指数公司由指数名称初步推断,红利低波,A500红利低波,主线,中证,红利低波,A500红利低波,主线,中证,否,,,是,,否,,,,
红利低波,A500红利低波,563510,易方达中证A500红利低波动ETF,易方达,上交所,中证A500红利低波动指数,中证,主线,是,否,是,新产品需校验规模/上市日期,否,,易方达基金官网：显示该指数从中证A500中选取连续分红、股息率高且波动率低的50只证券,标记为待校验；指数公司由指数名称初步推断,红利低波,A500红利低波,主线,中证,红利低波,A500红利低波,主线,中证,否,,,是,,是,新方向代表,代表A500红利低波新方向，适合观察策略ETF如何嫁接新宽基指数生态,A500样本空间、红利低波筛选、股息率加权、单只权重上限,新产品，后续需校验规模和流动性
红利低波,A500红利低波,159296,A500红利低波ETF,待校验,深交所,中证A500红利低波动指数,中证,主线,是,否,是,管理人和产品全称待Wind校验,否,,公开资料：显示首批跟踪中证A500红利低波动指数的产品包含深市产品,标记为待校验；指数公司由指数名称初步推断,红利低波,A500红利低波,主线,中证,红利低波,A500红利低波,主线,中证,否,,,是,,否,,,,
红利低波,红利低波100,159307,博时中证红利低波100ETF,博时基金,深交所,中证红利低波动100指数,中证,主线,是,否,是,基金全称/规模/上市日期需Wind校验,否,,公开基金销售平台：可检索到红利低波100ETF线索,标记为待校验；指数公司由指数名称初步推断,红利低波,红利低波100,主线,中证,红利低波,红利低波100,主线,中证,否,,,是,,否,,,,
低波,沪深300低波,512270,华安沪深300行业中性低波ETF,华安基金,上交所,沪深300行业中性低波动指数,待补充,主线,是,否,否,,否,,华安基金产品资料概要：显示代码512270，标的指数为沪深300行业中性低波动指数,指数公司待补充,低波,沪深300低波,主线,待补充,低波,沪深300低波,主线,中证,是,指数公司补充,分类本身合理，但指数公司字段可先按沪深300指数体系初步补为中证，后续仍需终端校验,是,只修正建议指数公司，策略分类不变,是,核心代表,代表大盘低波策略，并加入行业中性约束，适合研究低波策略如何避免行业偏离,低波指标、行业中性约束、波动率计算窗口、权重限制,作为低波类第一代表
低波,中证500低波,512260,华安中证500行业中性低波ETF,华安基金,上交所,中证500行业中性低波动指数,中证,主线,是,否,否,,否,,华安基金官网：显示产品代码512260，跟踪中证500行业中性低波动指数,指数公司由指数名称初步推断,低波,中证500低波,主线,中证,低波,中证500低波,主线,中证,否,,,否,,是,市值层面对比代表,代表中盘低波策略，与沪深300低波形成市值层面对比,中证500样本空间、行业中性约束、低波筛选逻辑,规模可能较小，但策略代表性较强
自由现金流,国证自由现金流,159201,华夏国证自由现金流ETF,华夏基金,深交所,国证自由现金流指数,国证,主线,是,否,是,新产品需校验规模/上市日期,是,原始标记为主线重点；产品名称属于典型策略方向,天天基金/基金F10：显示代码159201，基金全称为华夏国证自由现金流ETF,纳入级别由主线重点标准化为主线；标记为待校验；指数公司由指数名称初步推断,自由现金流,国证自由现金流,主线,国证,自由现金流,国证自由现金流,主线,国证,否,,,是,,是,核心代表,自由现金流方向的核心代表产品之一，适合重点分析现金创造能力策略,自由现金流率定义、选样池、行业约束、加权方式,作为自由现金流第一优先级代表
自由现金流,国证自由现金流,159222,易方达国证自由现金流ETF,易方达,深交所,国证自由现金流指数,国证,主线,是,否,是,新产品需校验规模/上市日期,是,原始标记为主线重点；产品名称属于典型策略方向,易方达基金官网：显示代码159222、深交所上市、标的指数为国证自由现金流指数,纳入级别由主线重点标准化为主线；标记为待校验；指数公司由指数名称初步推断,自由现金流,国证自由现金流,主线,国证,自由现金流,国证自由现金流,主线,国证,否,,,是,,是,核心代表,同样跟踪国证自由现金流指数，但基金公司代表性强，适合作为同指数多管理人竞争案例,同指数不同管理人产品的费率、规模、流动性差异,后续需和159201做横向比较
自由现金流,富时自由现金流聚焦,159399,国泰富时中国A股自由现金流聚焦ETF,国泰基金,深交所,富时中国A股自由现金流聚焦指数,富时罗素,主线,是,否,是,指数细节和上市日期需Wind校验,否,,公开资料：显示其属于自由现金流聚焦方向,标记为待校验；指数公司由指数名称初步推断,自由现金流,富时自由现金流聚焦,主线,富时罗素,自由现金流,富时自由现金流聚焦,主线,富时罗素,否,,,是,,否,,,,
自由现金流,自由现金流,159229,广发自由现金流ETF,广发基金,深交所,自由现金流相关指数,待补充,主线,是,否,是,跟踪指数全称需Wind校验,是,产品名称属于典型策略方向,天天基金/基金F10：可检索到自由现金流ETF广发159229,标记为待校验；指数公司待补充,自由现金流,自由现金流,主线,待补充,自由现金流,自由现金流,主线,待补充,否,,,是,,否,,,,
自由现金流,自由现金流,159236,工银自由现金流ETF,工银瑞信,深交所,自由现金流相关指数,待补充,主线,是,否,是,跟踪指数全称需Wind校验,是,产品名称属于典型策略方向,天天基金/基金F10：可检索到自由现金流ETF工银159236,标记为待校验；指数公司待补充,自由现金流,自由现金流,主线,待补充,自由现金流,自由现金流,主线,待补充,否,,,是,,否,,,,
自由现金流,中证全指自由现金流,159233,平安中证全指自由现金流ETF,平安基金,深交所,中证全指自由现金流指数,中证,主线,是,否,是,新产品需校验规模/上市日期,是,产品名称属于典型策略方向,平安基金官网：显示代码159233，标的指数为中证全指自由现金流指数,标记为待校验；指数公司由指数名称初步推断,自由现金流,中证全指自由现金流,主线,中证,自由现金流,中证全指自由现金流,主线,中证,否,,,是,,是,指数体系对比代表,代表中证全指自由现金流指数体系，可与国证自由现金流进行规则对比,中证全指自由现金流指数选样因子、加权方式、行业分布,后续需校验规模和成交额
自由现金流,中证全指自由现金流,563620,兴业中证全指自由现金流ETF,兴业基金,上交所,中证全指自由现金流指数,中证,主线,是,否,是,新产品需校验规模/上市日期,是,产品名称属于典型策略方向,兴业基金官网：显示产品代码563620，法定名称为兴业中证全指自由现金流ETF,标记为待校验；指数公司由指数名称初步推断,自由现金流,中证全指自由现金流,主线,中证,自由现金流,中证全指自由现金流,主线,中证,否,,,是,,否,,,,
自由现金流,国证自由现金流,待校验,银华国证自由现金流ETF,银华基金,待校验,国证自由现金流指数,国证,仅作线索,否,是,是,公开搜索主要找到联接基金，目标ETF代码需Wind校验,是,产品名称属于典型策略方向,天天基金/基金F10：可检索到银华国证自由现金流联接基金线索,标记为待校验；指数公司由指数名称初步推断,自由现金流,国证自由现金流,仅作线索,国证,自由现金流,国证自由现金流,仅作线索,国证,否,,,是,,否,,,,
自由现金流,国证自由现金流,待校验,永赢国证自由现金流ETF,永赢基金,待校验,国证自由现金流指数,国证,仅作线索,否,是,是,公开搜索主要找到联接基金，目标ETF代码需Wind校验,是,产品名称属于典型策略方向,天天基金/基金F10：可检索到永赢国证自由现金流联接基金线索,标记为待校验；指数公司由指数名称初步推断,自由现金流,国证自由现金流,仅作线索,国证,自由现金流,国证自由现金流,仅作线索,国证,否,,,是,,否,,,,
自由现金流,国证自由现金流,待校验,长城国证自由现金流ETF,长城基金,待校验,国证自由现金流指数,国证,仅作线索,否,是,是,公开搜索主要找到联接基金，目标ETF代码需Wind校验,是,产品名称属于典型策略方向,长城基金官网/公开基金页面：可检索到国证自由现金流联接基金线索,标记为待校验；指数公司由指数名称初步推断,自由现金流,国证自由现金流,仅作线索,国证,自由现金流,国证自由现金流,仅作线索,国证,否,,,是,,否,,,,
质量,红利质量,159758,华夏中证红利质量ETF,华夏基金,深交所,中证红利质量指数,中证,主线,是,否,否,,否,,华夏基金官网：显示代码159758、基金全称为华夏中证红利质量ETF,指数公司由指数名称初步推断,质量,红利质量,主线,中证,红利质量,红利质量,主线,中证,是,策略大类修正,该产品跟踪中证红利质量指数，属于红利与质量复合策略，不宜简单归入纯质量类,是,建议作为“红利+质量”复合策略单列，后续阅读指数规则确认红利因子与质量因子的筛选顺序,是,核心代表,红利质量方向成立相对更早，适合作为红利+质量复合策略核心样本,红利因子和质量因子的筛选顺序、质量因子定义、权重方式,建议重点查指数编制方案
质量,红利质量,159209,招商中证全指红利质量ETF,招商基金,深交所,中证全指红利质量指数,中证,主线,是,否,是,新产品需校验规模/上市日期,否,,天天基金/招商公告：可检索到红利质量ETF招商159209,标记为待校验；指数公司由指数名称初步推断,质量,红利质量,主线,中证,红利质量,红利质量,主线,中证,是,策略大类修正,该产品跟踪中证全指红利质量指数，属于红利与质量复合策略，不宜简单归入纯质量类,是,建议作为“红利+质量”复合策略单列，后续阅读指数规则确认样本空间和选样因子,是,扩展代表,代表中证全指样本空间下的红利质量策略，可与159758比较,中证全指红利质量指数样本空间、红利/质量打分方式,新产品，后续需校验规模和流动性
质量,红利质量,560370,易方达中证全指红利质量ETF,易方达,上交所,中证全指红利质量指数,中证,主线,是,否,是,新产品需校验规模/上市日期,否,,易方达基金官网：可检索到产品代码560370,标记为待校验；指数公司由指数名称初步推断,质量,红利质量,主线,中证,红利质量,红利质量,主线,中证,是,策略大类修正,该产品跟踪中证全指红利质量指数，属于红利与质量复合策略，不宜简单归入纯质量类,是,建议作为“红利+质量”复合策略单列，后续阅读指数规则确认样本空间和选样因子,否,,,,
价值,价值因子,512040,富国中证价值ETF,富国基金,上交所,中证价值相关指数,中证,主线,是,否,是,跟踪指数全称需校验,是,产品名称属于典型策略方向,富国基金官网：显示基金名称为富国中证价值ETF，代码512040,标记为待校验；指数公司由指数名称初步推断,价值,价值因子,主线,中证,价值,价值因子,主线,中证,否,,,是,,是,核心代表,富国自身产品，且代表价值因子策略，应作为价值类重点样本,价值因子定义、估值指标、选样数量、权重方式,优先查清楚跟踪指数全称
价值,国证价值100,159263,易方达国证价值100ETF,易方达,深交所,国证价值100指数,国证,主线,是,否,是,新产品需校验规模/上市日期,否,,易方达基金官网：显示代码159263，基金名称为易方达国证价值100ETF,标记为待校验；指数公司由指数名称初步推断,价值,国证价值100,主线,国证,价值,国证价值100,主线,国证,否,,,是,,是,指数体系对比代表,代表国证价值指数体系，可与富国中证价值ETF进行指数公司和规则对比,低估值指标、盈利约束、成分数量,新产品，后续需校验规模和成交额
成长,创业板动量成长,159967,华夏创业板动量成长ETF,华夏基金,深交所,创业板动量成长指数/创成长指数,待补充,主线,是,否,是,指数简称和全称需Wind校验,否,,天天基金/基金F10：可检索到创业板成长ETF华夏159967,标记为待校验；指数公司待补充,成长,创业板动量成长,主线,待补充,成长,创业板动量成长,主线,待补充,否,,,是,,是,核心代表,代表成长+动量复合风格，区别于单纯成长因子,动量因子、成长因子、创业板样本空间、调样频率,后续需确认指数全称
成长,深证成长40,159906,大成深证成长40ETF,大成基金,深交所,深证成长40指数,深证,主线,是,否,否,,否,,天天基金/基金F10：显示基金全称为深证成长40交易型开放式指数基金,指数公司由指数名称初步推断,成长,深证成长40,主线,深证,成长,深证成长40,主线,深证,否,,,否,,是,经典代表,代表深证成长风格，适合观察早期成长策略指数规则,成长指标、样本数量、权重方式,作为深市成长代表
成长,科创成长,588020,易方达上证科创板成长ETF,易方达,上交所,上证科创板成长指数,上证,主线,是,否,否,,否,,易方达基金官网：说明该指数从科创板中选取营收与净利润等业绩指标增长率较高的50只证券,指数公司由指数名称初步推断,成长,科创成长,主线,上证,成长,科创成长,主线,上证,否,,,否,,是,新经济成长代表,代表科创板成长风格，适合观察成长策略与科创板主题池结合,科创板样本空间、营收增长、净利润增长、成分股数量,适合作为科创成长代表
成长,科创成长,588070,万家上证科创板成长ETF,万家基金,上交所,上证科创板成长指数,上证,主线,是,否,否,,否,,万家基金官网：显示标的指数为上证科创板成长指数,指数公司由指数名称初步推断,成长,科创成长,主线,上证,成长,科创成长,主线,上证,否,,,否,,否,,,,
成长,科创成长,589700,南方上证科创板成长ETF,南方基金,上交所,上证科创板成长指数,上证,主线,是,否,是,规模/上市日期后续用Wind校验,否,,南方基金官网/上交所公告：可检索到代码589700,标记为待校验；指数公司由指数名称初步推断,成长,科创成长,主线,上证,成长,科创成长,主线,上证,否,,,是,,否,,,,
成长,科创成长,588110,广发上证科创板成长ETF,广发基金,上交所,上证科创板成长指数,上证,主线,是,否,否,,否,,广发基金官网：显示代码588110，基金名称为广发上证科创板成长ETF,指数公司由指数名称初步推断,成长,科创成长,主线,上证,成长,科创成长,主线,上证,否,,,否,,否,,,,
基本面策略,基本面50,512750,嘉实基本面50ETF,嘉实基金,上交所,基本面50指数,待补充,主线,是,否,否,,是,产品名称属于典型策略方向,天天基金/基金F10：显示基本面50ETF嘉实为被动式指数化投资产品,指数公司待补充,基本面策略,基本面50,主线,待补充,基本面策略,基本面50,主线,待补充,否,,,否,,是,核心代表,基本面加权类ETF的典型代表，适合分析非市值加权策略指数,基本面指标、收入、现金流、净资产、分红、加权方式,作为基本面策略第一代表
基本面策略,深证基本面120,159910,嘉实深证基本面120ETF,嘉实基金,深交所,深证基本面120指数,深证,主线,是,否,否,,否,,天天基金/基金F10：显示其以跟踪深证基本面120指数为原则,指数公司由指数名称初步推断,基本面策略,深证基本面120,主线,深证,基本面策略,深证基本面120,主线,深证,否,,,否,,是,扩展代表,与基本面50形成数量和样本空间对比，适合观察深市基本面策略表达,深证基本面120指数基本面指标、成分数量、加权方式,后续查指数规则
多因子/增强,指数增强,159517,银华中证800增强ETF,银华基金,深交所,中证800+指数增强,中证,单列观察,否,是,是,是否纳入策略ETF主线需问mentor,否,,天天基金/基金F10：显示该产品采用指数增强投资策略，并使用多因子量化选股,标记为待校验；指数公司由指数名称初步推断,多因子/增强,指数增强,单列观察,中证,指数增强/多因子,指数增强,单列观察,中证,是,策略大类命名修正,指数增强ETF使用多因子模型做增强，但不等同于纯被动策略指数ETF，建议单列观察,是,后续需要和mentor确认指数增强ETF是否纳入策略ETF主线,是,单列观察代表,代表指数增强型ETF，适合单列观察，不建议和纯被动Smart Beta混在一起,增强模型是否披露、多因子框架、主动偏离约束,需要和mentor确认是否纳入主线
多因子/增强,指数增强,512370,华夏中证A500增强策略ETF,华夏基金,上交所,中证A500+增强策略,中证,单列观察,否,是,是,是否纳入策略ETF主线需问mentor,否,,华夏基金官网：可检索到代码512370,标记为待校验；指数公司由指数名称初步推断,多因子/增强,指数增强,单列观察,中证,指数增强/多因子,指数增强,单列观察,中证,是,策略大类命名修正,指数增强ETF使用增强策略，但不等同于纯被动策略指数ETF，建议单列观察,是,后续需要和mentor确认指数增强ETF是否纳入策略ETF主线,是,单列观察代表,代表A500生态下的增强策略产品，适合观察指数增强和新宽基结合,增强策略边界、跟踪误差目标、主动风险约束,需要和mentor确认是否纳入主线
央企股东回报,央企股东回报,561960,招商中证国新央企股东回报ETF,招商基金,上交所,中证国新央企股东回报指数,中证,补充观察,否,是,是,兼具央企主题和股东回报策略属性,否,,天天基金/基金F10：显示代码561960，跟踪中证国新央企股东回报指数,标记为待校验；指数公司由指数名称初步推断,央企股东回报,央企股东回报,补充观察,中证,央国企红利/股东回报,央企股东回报,补充观察,中证,是,补充策略归并,该产品兼具央企主题属性和股东回报策略属性，建议统一归入央国企红利/股东回报补充观察池,是,后续需要和mentor确认央企股东回报是否进入主线,是,补充观察代表,体现央企主题与股东回报策略结合，适合作为中国特色策略ETF观察样本,股东回报指标、央企样本空间、分红/回购/估值指标,不进入A股主线，先放补充
央企股东回报,央企股东回报,560700,广发中证国新央企股东回报ETF,广发基金,上交所,中证国新央企股东回报指数,中证,补充观察,否,是,是,兼具央企主题和股东回报策略属性,否,,同花顺基金页面：显示代码560700、管理人为广发基金,标记为待校验；指数公司由指数名称初步推断,央企股东回报,央企股东回报,补充观察,中证,央国企红利/股东回报,央企股东回报,补充观察,中证,是,补充策略归并,该产品兼具央企主题属性和股东回报策略属性，建议统一归入央国企红利/股东回报补充观察池,是,后续需要和mentor确认央企股东回报是否进入主线,否,,,,
央企股东回报,央企股东回报,560070,汇添富中证国新央企股东回报ETF,汇添富,上交所,中证国新央企股东回报指数,中证,补充观察,否,是,是,兼具央企主题和股东回报策略属性,否,,汇添富基金官网：可检索到该产品，代码560070,标记为待校验；指数公司由指数名称初步推断,央企股东回报,央企股东回报,补充观察,中证,央国企红利/股东回报,央企股东回报,补充观察,中证,是,补充策略归并,该产品兼具央企主题属性和股东回报策略属性，建议统一归入央国企红利/股东回报补充观察池,是,后续需要和mentor确认央企股东回报是否进入主线,否,,,,
央企红利,央企红利,561580,华泰柏瑞中证中央企业红利ETF,华泰柏瑞,上交所,中证央企红利指数,中证,补充观察,否,是,是,红利策略与央企主题交叉，是否纳入主线需问mentor,否,,公开资料：显示该产品跟踪央企红利指数,标记为待校验；指数公司由指数名称初步推断,央企红利,央企红利,补充观察,中证,央国企红利/股东回报,央企红利,补充观察,中证,是,补充策略归并,该产品兼具央企主题属性和红利策略属性，建议统一归入央国企红利/股东回报补充观察池,是,后续需要和mentor确认央企红利是否进入红利主线,是,补充观察代表,体现央企范围内的红利策略，属于红利策略的中国特色延伸,央企样本池、股息率筛选、行业集中度,后续问mentor是否纳入红利主线
国企红利,国企红利,563890,创金合信国企红利ETF,创金合信,上交所,国企红利相关指数,待补充,补充观察,否,是,是,指数名称/规模/上市日期需Wind校验,否,,天天基金/基金F10：可检索到该产品,标记为待校验；指数公司待补充,国企红利,国企红利,补充观察,待补充,央国企红利/股东回报,国企红利,补充观察,待补充,是,补充策略归并,该产品兼具国企主题属性和红利策略属性，建议统一归入央国企红利/股东回报补充观察池,是,跟踪指数名称仍为国企红利相关指数，需后续用Wind确认指数全称,否,,,,
国企红利,国企红利,159515,国企红利ETF,待校验,深交所,中证国有企业红利指数,中证,补充观察,否,是,是,管理人和产品全称待Wind校验,否,,公开资料：显示159515跟踪中证国有企业红利指数,标记为待校验；指数公司由指数名称初步推断,国企红利,国企红利,补充观察,中证,央国企红利/股东回报,国企红利,补充观察,中证,是,补充策略归并,该产品兼具国企主题属性和红利策略属性，建议统一归入央国企红利/股东回报补充观察池,是,产品全称和管理人仍需后续用Wind校验,否,,,,
国企红利,国企红利,510720,国泰上证国有企业红利ETF,国泰基金,上交所,上证国有企业红利相关指数,上证,补充观察,否,是,是,指数名称/规模/上市日期需Wind校验,否,,公开基金行情网站：可检索到基金名称、代码和管理人为国泰基金,标记为待校验；指数公司由指数名称初步推断,国企红利,国企红利,补充观察,上证,央国企红利/股东回报,国企红利,补充观察,上证,是,补充策略归并,该产品兼具国企主题属性和红利策略属性，建议统一归入央国企红利/股东回报补充观察池,是,跟踪指数全称仍需后续用Wind校验,否,,,,
ESG,180ESG,510990,工银180ESGETF,工银瑞信,上交所,ESG相关指数,待补充,补充观察,否,是,是,ESG是否作为主线需问mentor,否,,天天基金/基金F10：显示该产品采取完全复制策略，跟踪标的指数,标记为待校验；指数公司待补充,ESG,180ESG,补充观察,待补充,ESG,180ESG,补充观察,待补充,否,,,是,,否,,,,
ESG,央企ESG,560810,融通中证诚通央企ESGETF,融通基金,上交所,中证诚通央企ESG指数,中证,补充观察,否,是,是,ESG是否作为主线需问mentor,否,,融通基金官网：显示产品为融通中证诚通央企ESGETF，代码560810,标记为待校验；指数公司由指数名称初步推断,ESG,央企ESG,补充观察,中证,ESG,央企ESG,补充观察,中证,否,,,是,,是,补充观察代表,兼具央企主题和ESG评分逻辑，适合作为ESG策略观察样本,ESG评分是否参与选样/加权、央企样本空间,不进入主线，先放补充
ESG,可持续发展,515090,博时中证可持续发展100ETF,博时基金,上交所,中证可持续发展100指数,中证,补充观察,否,是,是,ESG/可持续是否作为主线需问mentor,否,,天天基金/基金F10：显示该产品跟踪中证可持续发展100指数,策略大类由ESG/可持续标准化为ESG；标记为待校验；指数公司由指数名称初步推断,ESG,可持续发展,补充观察,中证,ESG,可持续发展,补充观察,中证,否,,,是,,是,补充观察代表,代表可持续发展策略方向，可作为ESG扩展样本,可持续发展评分、样本空间、负面剔除机制,不进入主线，先放补充
港股通红利,港股通央企红利,520990,景顺长城中证国新港股通央企红利ETF,景顺长城,上交所,港股通央企红利相关指数,待补充,跨境补充,否,是,是,属于港股通/跨境方向，暂不混入A股主线,否,,景顺长城基金官网：可检索到产品代码520990,标记为待校验；指数公司待补充,港股通红利,港股通央企红利,跨境补充,待补充,港股通红利/低波,港股通央企红利,跨境补充,中证,是,跨境补充归并,该产品在境内上市但底层属于港股通红利方向，建议统一归入港股通红利/低波跨境补充池,是,后续需要和mentor确认港股通产品是否纳入境内部分,否,,,,
港股通红利,港股通央企红利,513910,华夏中证港股通央企红利ETF,华夏基金,上交所,港股通央企红利相关指数,待补充,跨境补充,否,是,是,属于港股通/跨境方向，暂不混入A股主线,否,,华夏基金官网：可检索到产品代码513910,标记为待校验；指数公司待补充,港股通红利,港股通央企红利,跨境补充,待补充,港股通红利/低波,港股通央企红利,跨境补充,中证,是,跨境补充归并,该产品在境内上市但底层属于港股通红利方向，建议统一归入港股通红利/低波跨境补充池,是,后续需要和mentor确认港股通产品是否纳入境内部分,否,,,,
港股通红利低波,港股低波红利,159118,华夏标普港股通低波红利ETF,华夏基金,深交所,标普港股通低波红利相关指数,标普,跨境补充,否,是,是,属于港股通/跨境方向，暂不混入A股主线,否,,公开基金公告/产品资料：可检索到该产品线索,标记为待校验；指数公司由指数名称初步推断,港股通红利低波,港股低波红利,跨境补充,标普,港股通红利/低波,港股通低波红利,跨境补充,标普,是,跨境补充归并,该产品在境内上市但底层属于港股通低波红利方向，建议统一归入港股通红利/低波跨境补充池,是,后续需要和mentor确认港股通产品是否纳入境内部分,是,跨境补充代表,体现港股通资产中的红利低波策略，适合作为跨境补充观察,港股通样本空间、低波和红利筛选方式、汇率/市场差异,不混入境内A股主线
