策略类型,关联代表产品代码,关联代表产品名称,指数名称,指数代码,指数公司,样本空间,选样因子,选样方法,成分股数量,加权方式,调样频率,个股权重限制,行业限制,前十大成分股,行业分布,策略理解,信息来源URL,核验状态,备注
红利,510880,华泰柏瑞上证红利ETF,上证红利指数,000015,上证/中证,上证180指数样本空间中满足市值、成交额、连续分红和股利支付率条件的沪市A股及红筹企业存托凭证,过去三年平均现金股息率、连续分红、股利支付率、规模、流动性,在样本空间内按过去三年平均现金股息率由高到低排名，选取前50只证券,50,股息率加权,每年12月第二个星期五的下一交易日调整,单只样本权重不超过10%；总市值100亿元以下样本权重不超过1%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,传统沪市红利策略，强调高股息、分红稳定和可投资性，是境内红利ETF最经典的指数之一,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000015_Index_Methodology_cn.pdf,已核验,核心红利代表指数
红利,515080,招商中证红利ETF,中证红利指数,000922,中证,中证全指指数样本空间中满足市值、成交额、连续分红和股利支付率条件的A股及红筹企业存托凭证,过去三年平均现金股息率、连续分红、股利支付率、规模、流动性,在样本空间内按过去三年平均现金股息率由高到低排名，选取前100只上市公司证券,100,股息率加权,每年12月第二个星期五的下一交易日调整,单只样本权重不超过10%；总市值100亿元以下样本权重不超过0.5%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,A股全市场红利代表指数，较上证红利覆盖范围更广，是中证体系红利策略的核心,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208175433-000922_Index_Methodology_cn.pdf,已核验,核心红利代表指数
红利,159905,工银深证红利ETF,深证红利指数,399324,深证/国证,深市A股,累计分红金额、日均成交金额、ROE相关条件,国证官网公开页面显示：剔除预期净资产收益率处于后50%且净资产收益率变化率处于后20%的股票，选取累计分红金额和日均成交金额综合排名位于前40名的股票作为样本股,40,待二次核验；公开页面未完整展示权重细则,待二次核验,待二次核验,待二次核验,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,深市红利代表指数，与上证红利和中证红利形成市场板块对比,https://www.cnindex.com.cn/module/index-detail.html?act_menu=1&indexCode=399324,部分核验,需后续下载完整编制方案或用Wind校验权重和调样规则
红利低波,512890,华泰柏瑞中证红利低波动ETF,中证红利低波动指数,H30269,中证,中证全指指数样本空间中满足连续分红、市值和成交额条件的上市公司证券,股息率、波动率、红利支付率、每股股息增长率,先剔除红利支付率过高或为负、每股股息增长率非正的证券；再按三年平均税后现金股息率选前75只；最后按过去一年波动率升序选前50只,50,股息率加权,每年12月第二个星期五的下一交易日调整,单只样本权重不超过15%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,红利+低波复合策略，通过高股息和低波动筛选增强防御属性,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/H30269_Index_Methodology_cn.pdf,已核验,红利低波核心代表
红利低波,515100,景顺长城中证红利低波动100ETF,中证红利低波动100指数,930955,中证,中证全指指数样本空间,股息率、过去一年波动率、连续分红、流动性,剔除过去一年日均成交金额排名后20%；选取过去三年连续现金分红且每年现金股息率大于0的证券；先按股息率选前300只，再按过去一年波动率升序选前100只,100,股息率/过去一年波动率加权,每季度调整；3月、6月、9月、12月第二个星期五的下一交易日实施,未给单只权重上限；明确中证二级行业权重不超过20%,中证二级行业权重不超过20%,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,比中证红利低波动指数成分更多、更分散，使用股息率/波动率加权,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180204-930955_Index_Methodology_cn.pdf,已核验,红利低波100代表
红利低波,563510,易方达中证A500红利低波动ETF,中证A500红利低波动指数,932422,中证,中证A500指数样本,连续分红、股利支付率、ROE稳定性、股息率、波动率,在中证A500样本中选取过去三年连续现金分红、股利支付率合理、过去12个季度ROE标准差排名前80%的证券；按过去三年平均现金股息率选前50%作为待选样本；再按过去一年波动率升序选前50只,50,股息率加权,每半年调整；6月和12月第二个星期五的下一交易日实施,单只样本权重不超过10%,单个一级行业权重不超过30%,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,A500样本空间上的红利低波策略，体现新宽基生态与红利低波因子的结合,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/932422_Index_Methodology_cn.pdf,已核验,新方向代表
自由现金流,159201;159222,华夏国证自由现金流ETF;易方达国证自由现金流ETF,国证自由现金流指数,980092,国证,满足非ST、上市时间、无重大违规、经营正常、价格无异常波动等条件的A股和红筹企业存托凭证,自由现金流率、ROE稳定性、经营现金流质量、流动性、行业剔除,剔除最近半年日均成交金额后20%、金融或房地产行业、近12季度ROE稳定性后10%；选取自由现金流、企业价值和近三年经营现金流为正且现金流质量较好的证券；按近一年自由现金流率选前100只,100,按样本公司自由现金流计算初始权重,每季度调整；3月、6月、9月、12月第二个星期五的下一个交易日实施,单只样本权重不超过10%,剔除金融和房地产行业,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,强调企业真实现金创造能力和现金流稳定性，是自由现金流策略核心指数,https://www.cnindex.com.cn/docs/gz_980092.pdf,已核验,自由现金流核心代表
自由现金流,159233,平安中证全指自由现金流ETF,中证全指自由现金流指数,932365,中证,中证全指指数样本空间,自由现金流率、自由现金流、企业价值、连续经营现金流、盈利质量、流动性,过去一年日均成交金额排名位于前80%；剔除金融和地产；要求自由现金流和企业价值为正、连续5年经营现金流为正、盈利质量前80%；按自由现金流率选前100只,100,自由现金流加权,每季度调整；3月、6月、9月、12月第二个星期五的下一交易日实施,单只样本权重不超过10%,剔除金融和地产行业,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,中证体系自由现金流指数，便于和国证自由现金流进行规则差异对比,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/932365_Index_Methodology_cn.pdf,已核验,中证现金流代表
红利质量,159758,华夏中证红利质量ETF,中证红利质量指数,931468,中证,中证全指指数样本空间,连续分红、分红总额、再融资、股利支付率、盈利质量、毛利率、ROE均值-标准差、ROE变化,先做市值和成交额可投资性筛选；选取满足分红、再融资和股利支付率条件的证券；计算六个财务质量指标综合得分，选前50只,50,标准化后的综合得分加权,每半年调整；6月和12月第二个星期五的下一交易日实施,单只样本权重不超过10%；前五大样本权重合计不超过40%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,红利+质量复合策略，强调分红能力和盈利质量,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180546-931468_Index_Methodology_cn.pdf,已核验,红利质量核心代表
红利质量,159209,招商中证全指红利质量ETF,中证全指红利质量指数,932315,中证,中证全指指数样本空间,连续分红、平均股利支付率、股息率、ROE稳定性、ROE、DROE、OPCFD、DP,先做市值和成交额筛选；选取过去三年连续分红且股利支付率合理证券；按股息率剔除后50%；按ROE标准差筛选；再按质量因子综合得分选前50只,50,综合得分倾斜加权,每半年调整；6月和12月第二个星期五的下一交易日实施,单只样本权重不超过10%；前五大样本权重合计不超过40%,单个一级行业权重合计不超过30%,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,红利质量扩展指数，约束更强调分红稳定、质量和行业分散,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/932315_Index_Methodology_cn.pdf,已核验,红利质量扩展代表
价值,512040,富国中证价值ETF,中证国信价值指数,931052,中证,中证全指指数样本空间中沪深市场证券,低估值、盈利能力、ESG风险、商誉、质押、流动性,先做流动性筛选；剔除大股东质押比例高、商誉占净资产比例高、ESG评级较低等证券；从具有长期价值增长潜力且估值较低证券中选取100只,100,待进一步按编制方案完整核验；官方简介为价值策略样本,待进一步核验,待进一步核验,待进一步核验,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,富国中证价值ETF跟踪的核心价值因子指数，需重点核清完整权重细则,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180210-931052_Index_Methodology_cn.pdf,部分核验,需二次打开完整PDF补齐加权、调样、权重上限字段
价值,159263,易方达国证价值100ETF,国证价值100指数,980081,国证,满足非ST、上市时间条件的A股和红筹企业存托凭证,PE倒数、股息率、自由现金流率、ROE质量、自由现金流率、流动性、市值、盈利条件,剔除近半年成交金额后20%、近半年总市值后20%、净利润小于0证券；剔除ROE均值后20%、ROE波动率前20%、自由现金流率后50%；对市盈率倒数、股息率、自由现金流率标准化后计算价值得分，选前100只,100,以价值得分倾斜因子乘自由流通市值计算初始权重,每季度调整；3月、6月、9月、12月第二个星期五的下一个交易日实施,单只样本权重不超过8%,单个国证二级行业权重不超过20%,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,国证价值指数体系代表，实际是价值+质量约束的复合价值策略,https://www.cnindex.com.cn/docs/gz_980081.pdf,已核验,价值策略代表
成长,159967,华夏创业板动量成长ETF,创业板动量成长指数,399296,国证/深证,深圳证券交易所创业板上市交易且满足非ST、上市时间、财务和价格正常条件的A股,成长因子、动量因子、自由流通市值,先按过去半年日均自由流通市值选前30%；计算成长和动量六个指标得分；根据因子得分和自由流通市值进行倾斜，选前50只,50,自由流通市值权重基础上的因子倾斜加权,每季度调整；3月、6月、9月、12月第二个星期五的下一交易日实施,单只股票权重上限不超过15%,成长因子得分按行业归一化处理；无明确行业权重上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,成长+动量复合策略，适合观察成长因子与趋势动量结合,https://www.cnindex.com.cn/docs/gz_399296.pdf,已核验,成长类核心代表
成长,159906,大成深证成长40ETF,深证成长40指数,399326,国证/深证,深圳证券交易所上市交易且满足非ST、上市时间、财务和价格正常条件的A股,成长因子、动量因子、流动性、市值、扣非净利润,剔除最近半年日均成交金额或日均总市值后30%、扣非净利润TTM小于0股票；优先纳入成长因子排名靠前的上期样本；剩余股票中选成长因子排名靠前且行业内自由流通市值靠前、动量得分较高证券，共40只,40,派氏加权；具体权重调整因子见国证维护细则,每季度调整；3月、6月、9月、12月第二个星期五的下一个交易日实施,未在摘要中明确单只权重上限,通过国证三级行业内排名筛选控制行业代表性,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,深市成长风格代表指数，兼顾成长得分和行业内动量表现,https://www.cnindex.com.cn/docs/gz_399326.pdf,已核验,成长类经典代表
成长,588020,易方达上证科创板成长ETF,上证科创板成长指数,000690,上证/中证,满足上市时间和非退市风险警示条件的科创板股票及红筹企业存托凭证,营收增长、扣非净利润增长、增长趋势、流动性,过去一年日均成交金额排名前90%；计算最新季度营收TTM环比增长率、扣非净利润TTM环比增长率、过去12季度相关增长率和增长趋势，综合得分选前50只,50,自由流通市值调整后的市值加权并设权重因子,每季度调整；3月、6月、9月、12月第二个星期五的下一交易日实施,单个样本权重不超过10%,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,科创板内部成长风格代表，体现成长因子与科创板样本空间结合,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000690_Index_Methodology_cn.pdf,已核验,科创成长代表
低波,512270,华安沪深300行业中性低波ETF,沪深300行业中性低波动指数,930846,中证,沪深300指数样本,过去一年日收益率波动率、行业中性,在沪深300一级行业内计算过去一年日收益率波动率并由低到高排名；按沪深300一级行业样本分布确定行业配额，选取低波证券并调整至100只,100,行业权重保持与沪深300一级行业权重相同；行业内按波动率倒数加权,每半年调整；6月和12月第二个星期五的下一交易日实施,未设普通单只权重上限；权重由行业权重和波动率倒数决定,保持沪深300一级行业中性,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,大盘低波策略，核心是降低波动同时减少行业偏离,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/527_930846_Index_Methodology_cn.pdf,已核验,低波核心代表
低波,512260,华安中证500行业中性低波ETF,中证500行业中性低波动指数,930782,中证,中证500指数样本,过去一年日收益率波动率、行业中性,在中证500二级行业内计算过去一年日收益率波动率并排序；按中证500二级行业样本分布确定配额，选取低波证券并调整至150只,150,行业内按波动率倒数加权,每半年调整；6月和12月第二个星期五的下一交易日实施,未设普通单只权重上限；权重由行业权重和波动率倒数决定,保持中证500二级行业中性,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,中盘低波策略，与沪深300低波形成市值层面对比,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/480_930782_Index_Methodology_cn.pdf,已核验,低波扩展代表
基本面策略,512750,嘉实基本面50ETF,中证锐联基本面50指数,000925/399925,中证,中证全指指数样本空间,营业收入、现金流、净资产、分红、流动性,剔除过去一年日均成交金额排名后20%；计算过去5年营业收入、现金流、净资产、分红四项基本面指标的相对占比，得到基本面价值，选基本面价值最大前50只,50,经自由流通比例调整后的基本面价值加权,每年6月第二个星期五的下一交易日调整,未在摘要中明确单只权重上限,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,非市值加权代表策略，用基本面经济规模替代市值权重,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208175416-000925_Index_Methodology_cn.pdf,已核验,基本面加权核心代表
基本面策略,159910,嘉实深证基本面120ETF,深证基本面120指数,399702,深证/中证,满足上市时间和非ST条件的深市证券,营业收入、现金流、净资产、分红、流动性,剔除过去一年日均成交金额排名后20%；计算基本面价值，选取基本面价值排名前120名证券,120,经自由流通比例调整后的基本面价值加权,每年6月第二个星期五的下一交易日调整,未在摘要中明确单只权重上限,无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,深市基本面加权策略代表，适合与基本面50对比样本空间和成分数量,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/289_399701_Index_Methodology_cn.pdf,已核验,基本面策略扩展代表
指数增强/多因子,159517,银华中证800增强ETF,中证800+指数增强,不适用,不适用,锚定中证800宽基指数,多因子Alpha策略、跟踪误差约束、组合优化,该产品属于指数增强ETF，不是跟踪预先编制的Smart Beta策略指数；应查基金招募说明书中的增强策略和跟踪误差约束,不适用,不适用,不适用,不适用,不适用,不适用,不适用,指数增强ETF应单列观察，不与纯策略指数ETF混入同一规则表比较,待补充基金招募说明书URL,待二次核验,后续若mentor要求纳入，再查招募说明书
指数增强/多因子,512370,华夏中证A500增强策略ETF,中证A500+增强策略,不适用,不适用,锚定中证A500宽基指数,多因子增强、主动偏离约束、跟踪误差控制,该产品属于指数增强ETF，不是跟踪预先编制的Smart Beta策略指数；应查基金招募说明书中的增强策略和跟踪误差约束,不适用,不适用,不适用,不适用,不适用,不适用,不适用,A500生态下指数增强代表，需单独作为增强ETF观察样本,待补充基金招募说明书URL,待二次核验,后续若mentor要求纳入，再查招募说明书
央国企红利/股东回报,561960,招商中证国新央企股东回报ETF,中证国新央企股东回报指数,932039,中证,中证全指指数样本空间中国务院国资委央企名录或实际控制权/第一大股东归属于国务院国资委的上市公司证券,现金分红或回购总额占总市值比率、市值、成交额、央企属性,主要选取国务院国资委下属现金分红或回购总额占总市值比率较高的50只上市公司证券,50,待进一步查完整加权规则；指数目标为股东回报主题,每年调整,待进一步核验,央企样本空间限定,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,中国特色股东回报策略，兼具央企主题和分红/回购回报属性,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180042-932039_Index_Methodology_cn.pdf,部分核验,补充观察，不进入A股纯策略主线
央国企红利/股东回报,561580,华泰柏瑞中证中央企业红利ETF,中证中央企业红利指数,000825,中证,中证全指指数样本空间中实际控制人为国务院国资委或财政部，且满足市值、成交额等条件的A股及红筹企业存托凭证,央企属性、现金股息率、分红稳定性、规模、流动性,从中央企业中选取现金股息率高、分红比较稳定且有一定规模及流动性的50只证券,50,待进一步查完整加权规则；大概率为股息率相关加权，需二次核验,待进一步核验,待进一步核验,央企样本空间限定,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,央企范围内的红利策略，是红利策略的中国特色延伸,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208175355-000825_Index_Methodology_cn.pdf,部分核验,补充观察，是否纳入红利主线需问mentor
ESG,560810,融通中证诚通央企ESGETF,中证诚通央企ESG指数,待补充,中证,央企上市公司证券,央企属性、中证ESG评价得分,公开新闻显示该指数依据中证ESG评价中环境、社会、公司治理评价得分，选取ESG综合得分最高的50只央企上市公司证券；完整编制方案需后续在中证官网二次核验,50,待二次核验,待二次核验,待二次核验,央企样本空间限定,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,央企主题和ESG评分结合，暂作为ESG补充观察,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-10/560810_20241210_D138.pdf,部分核验,只核验到基金文件和公开新闻，未找到完整官方PDF，后续需补
ESG,515090,博时中证可持续发展100ETF,中证可持续发展100指数,931268,中证,沪深300指数样本,可持续发展评分、ESG/可持续发展评估、负面剔除,先从产业政策、特殊行业、财务问题、负面事件、违法违规及特殊处理等方面剔除不符合资质证券，再基于可持续发展评估模型选取评分最高的100家上市公司证券,100,待进一步核验完整权重细则,待进一步核验,待进一步核验,以沪深300为样本空间，无明确行业上限,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,可持续发展/ESG策略补充样本，不作为今天A股因子主线,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/1645_931268_Index_Methodology_cn.pdf,部分核验,补充观察
港股通红利/低波,159118,华夏标普港股通低波红利ETF,标普港股通低波红利指数,待补充,标普道琼斯,标普港股通指数,股息收益率、波动率、港股通可投资性,标普官网说明该指数用于衡量标普港股通指数内50只波幅最小、收益率高的股票表现；完整规则见标普低波红利指数编制方法,50,待进一步查标普方法论细则,待进一步核验,待进一步核验,港股通样本空间限定,待Wind/指数官网factsheet实时导出,待Wind/指数官网factsheet实时导出,港股通低波红利策略，属于跨境补充，不混入境内A股主线,https://www.spglobal.com/spdji/zh/indices/dividends-factors/sp-access-hong-kong-low-volatility-high-dividend-index/,部分核验,跨境补充代表
